accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
0.6498,0.0607,0.4396,-1.0986,-81.665,95.0928,circle
0.9208,0.1494,0.5608,0.0,5.6152,-38.6353,circle
1.1815,0.3925,0.9209,-29.4189,13.855,-37.5977,circle
-0.2631,0.6302,-0.6659,203.125,87.7685,126.2207,circle
-1.4293,-0.8921,1.113,300.2319,442.2607,35.7666,circle
-1.4293,-0.8921,1.113,300.2319,442.2607,35.7666,circle
0.1111,0.967,0.2273,-14.5874,-459.7778,47.9736,circle
-0.29,-0.6239,0.4923,85.9375,94.7876,242.4927,circle
0.3412,-0.4773,1.5563,-53.3447,66.4673,-5.3711,circle
0.3645,-0.1991,0.7946,-52.9175,-20.9961,-40.7715,circle
0.269,0.2986,1.1115,-24.292,13.0615,-95.6421,circle
0.2531,0.1636,1.1028,12.207,-15.1978,-48.0957,circle
0.2429,0.6396,1.2578,17.334,-57.5561,-76.6602,circle
-0.5602,0.392,-0.344,22.0947,-1.0986,307.7393,circle
-0.8878,-0.9871,2.1714,102.7832,412.5366,76.5381,circle
-0.8878,-0.9871,2.1714,102.7832,412.5366,76.5381,circle
-0.2181,1.3667,0.7352,-102.3559,-330.1391,-122.7417,circle
-0.1919,-0.7235,0.3884,-73.9746,-84.9609,326.7822,circle
0.1007,-1.0923,0.9364,-2.2583,20.0806,-13.0615,circle
0.3246,-0.3313,0.8234,7.5684,-6.5308,-15.8081,circle
0.1748,0.5237,0.667,67.5049,30.3345,-183.4717,circle
0.1075,1.2634,1.0955,82.0923,-50.1709,-187.2558,circle
-0.1724,1.4614,0.4674,-93.75,-209.2285,73.9136,circle
-1.3102,-0.526,-0.2939,-62.3779,95.1538,475.3418,circle
-0.7852,-2.4552,1.4723,19.4092,415.4052,412.0483,circle
-0.7852,-2.4552,1.4723,19.4092,415.4052,412.0483,circle
-0.9069,1.6039,0.9381,206.2378,-219.1772,-162.0483,circle
-0.2975,0.6715,-0.094,-146.6064,-219.7876,269.6533,circle
-0.1675,-0.8057,0.2371,-84.5947,-28.5034,399.5361,circle
0.4257,-0.3739,1.2617,48.0347,14.4653,-30.1514,circle
0.7638,0.077,1.2325,-60.1807,-27.6489,-53.5889,circle
0.6782,0.6992,0.5057,-87.5244,-82.2754,33.3252,circle
-0.5492,-0.014,-0.1399,28.8086,28.6865,259.4604,circle
-1.2485,-1.4729,0.7141,54.8096,205.0781,235.3515,circle
-1.2485,-1.4729,0.7141,54.8096,205.0781,235.3515,circle
0.5966,0.1239,2.0259,22.7661,-10.9863,-262.6953,circle
0.6232,0.4095,0.8458,-33.3252,-184.4482,50.5371,circle
-0.0951,0.099,0.0007,10.6201,-139.2212,140.3198,circle
-0.3987,-1.2501,0.7178,55.6641,34.4849,146.1182,circle
0.382,-0.8229,1.1752,50.1099,13.3667,-64.6362,circle
0.522,-0.261,0.8929,-0.9766,-14.3433,-38.3301,circle
0.5338,-0.0583,0.6533,-1.9531,-25.6348,-6.0425,circle
0.0898,-0.2168,0.4194,44.4336,21.4233,79.0405,circle
-0.6444,-0.7806,0.9612,45.8984,159.668,58.6548,circle
-0.4374,-0.8146,1.6578,-2.6855,120.6055,-162.5366,circle
-0.4374,-0.8146,1.6578,-2.6855,120.6055,-162.5366,circle
0.7148,0.6737,0.7725,-42.6636,-200.0122,-60.9131,circle
0.0858,0.1804,0.1176,6.3477,-156.6162,137.085,circle
-0.4916,-0.5992,0.425,89.7827,-15.3198,192.0776,circle
-0.396,-1.0594,1.1156,83.8623,99.9756,70.0073,circle
-0.4213,-0.9701,1.4268,-44.6777,-173.3398,72.937,circle
-0.7646,-0.9233,0.6249,-90.9424,-135.5591,-128.479,circle
-0.0895,0.4482,-0.3235,-49.6216,45.4712,-175.1709,circle
0.6243,0.682,0.4163,41.1377,269.3481,33.6304,circle
0.9354,-0.1681,2.0431,40.7104,137.6343,120.2393,circle
0.9354,-0.1681,2.0431,40.7104,137.6343,120.2393,circle
-0.4006,-0.9103,0.8807,-41.5649,-140.0757,-29.7852,circle
0.0834,-0.3511,0.6003,-33.7524,-57.0068,-138.1836,circle
0.4121,-0.0443,0.2107,14.1602,2.0752,-109.0698,circle
0.9104,-0.0374,0.8921,0.9766,22.8882,-24.7803,circle
0.3752,-0.4469,0.7802,-29.9683,8.2397,1.0986,circle
0.3674,-0.4744,0.7288,-42.2363,32.2266,1.9531,circle
0.3337,-0.5713,0.934,-37.9639,72.3877,30.7617,circle
0.3882,-0.9661,1.2141,-15.5029,-32.5928,28.7476,circle
-0.7141,-1.6538,0.5867,-126.0376,-97.8393,-124.3896,circle
-0.7141,-1.6538,0.5867,-126.0376,-97.8393,-124.3896,circle
1.5804,0.8945,1.5378,17.6392,221.8628,138.9771,circle
0.297,-1.584,1.4854,22.522,-121.7651,177.6733,circle
-0.9891,-2.0598,0.4247,-63.9648,-161.7431,-38.5742,circle
-0.0209,0.3181,0.4009,-42.6025,25.5127,-210.2051,circle
0.5833,-0.4747,0.701,2.4414,7.4463,1.6479,circle
0.4001,-0.5173,0.6456,-9.0332,2.6855,-0.9155,circle
0.5139,-0.0382,0.6543,15.686,52.4902,12.5122,circle
0.7932,-0.576,1.3245,24.231,34.1797,171.1426,circle
-0.6565,-2.5201,1.1132,-140.686,-190.8569,-32.8369,circle
-0.6565,-2.5201,1.1132,-140.686,-190.8569,-32.8369,circle
0.7775,1.9834,0.1825,-32.7759,231.5674,106.8115,circle
0.8682,-2.0608,2.239,1.4648,130.188,280.2734,circle
